author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
LEGENDA Development,developer,https://spb.cian.ru/sale/flat/315985028/,Санкт-Петербург,sale,flat,3,17,1,30.19,-1,0,10023080,Василеостровский,Морской,,Приморская,Новая Земля ЖК
Александра Озюменко,realtor,https://spb.cian.ru/sale/flat/315712452/,Санкт-Петербург,sale,flat,6,10,2,62.5,-1,0,33600000,Петроградский,Ждановская ,45,Чкаловская,Леонтьевский мыс
LEGENDA Development,developer,https://spb.cian.ru/sale/flat/307880027/,Санкт-Петербург,sale,flat,2,9,2,75.1,-1,0,25158500,Красногвардейский, Стахановцев,1,Новочеркасская,"Малоохтинский, 68"
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/297371569/,Санкт-Петербург,sale,flat,4,6,2,76.6,-1,0,37800000,Петроградский,Петровский проспект,2с2,Спортивная,"Элитный комплекс ""ROYAL PARK"""
RBI,developer,https://spb.cian.ru/sale/flat/310427295/,Санкт-Петербург,sale,flat,3,12,1,34.2,-1,0,13990000,Невский,Невская застава,,Елизаровская,Литера ЖК
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/310770219/,Санкт-Петербург,sale,flat,4,7,2,95.3,-1,0,119125000,Центральный,набережная Воскресенская,32,Площадь Ленина,Приоритет
ПИК,developer,https://spb.cian.ru/sale/flat/310182794/,Санкт-Петербург,sale,flat,2,13,2,56.1,-1,0,17519356,Выборгский,Сампсониевское,5,Лесная,Кантемировская 11 ЖК
ID 127732519,homeowner,https://spb.cian.ru/sale/flat/313659002/,Санкт-Петербург,sale,flat,9,9,1,33.4,-1,0,6000000,Выборгский,проспект Культуры,26К1,Проспект Просвещения,
Петербургская Строительная Компания,developer,https://spb.cian.ru/sale/flat/297863470/,Санкт-Петербург,sale,flat,6,8,1,40.4,-1,0,27068000,Петроградский,набережная Реки Карповки,31к1,Чкаловская,Северная Корона
ID 106754458,homeowner,https://spb.cian.ru/sale/flat/309501215/,Санкт-Петербург,sale,flat,9,16,1,36.0,-1,0,7990000,Калининский,проспект Маршала Блюхера,9к2,Выборгская,Город Мастеров
Красная Стрела,developer,https://spb.cian.ru/sale/flat/291703843/,Санкт-Петербург,sale,flat,2,9,1,31.15,-1,0,13213509,Василеостровский,7-я Васильевского острова линия,84,Василеостровская,Регенбоген
Престиж,real_estate_agent,https://spb.cian.ru/sale/flat/311363542/,Санкт-Петербург,sale,flat,1,5,2,52.4,-1,0,12990000,Адмиралтейский,набережная Реки Мойки,62/2,Адмиралтейская,
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/312284983/,Санкт-Петербург,sale,flat,7,8,2,57.9,-1,0,25696020,Петроградский,Ремесленная ,15,Спортивная,Neva Residence
SPB Housing,real_estate_agent,https://spb.cian.ru/sale/flat/304205144/,Санкт-Петербург,sale,flat,8,13,2,57.9,-1,0,16860480,Василеостровский,набережная Реки Смоленки,35к1,Приморская,Айно
Интеском,developer,https://spb.cian.ru/sale/flat/309188603/,Санкт-Петербург,sale,flat,2,5,1,43.5,-1,0,11418750,Выборгский, Береговая,6,Проспект Просвещения,Loft у Озера
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/316287735/,Санкт-Петербург,sale,flat,5,10,1,56.2,-1,0,35000000,Петроградский,Ждановская ,45,Крестовский остров,Леонтьевский мыс
LAR Development,developer,https://spb.cian.ru/sale/flat/314286152/,Санкт-Петербург,sale,flat,2,4,2,52.84,-1,0,23249600,Курортный,,,,Ранта Резиденс
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/316181371/,Санкт-Петербург,sale,flat,3,10,1,61.6,-1,0,38000000,Петроградский,Ждановская ,45,Крестовский остров,Леонтьевский мыс
LEGENDA Development,developer,https://spb.cian.ru/sale/flat/316096629/,Санкт-Петербург,sale,flat,4,17,2,53.31,-1,0,16014324,Василеостровский,Морской,,Приморская,Новая Земля ЖК
ID 59616012,homeowner,https://spb.cian.ru/sale/flat/317347981/,Санкт-Петербург,sale,flat,8,25,1,36.0,-1,0,6800000,Красносельский, Маршала Казакова,78к1,Автово,Южная акватория
Sun Development,developer,https://spb.cian.ru/sale/flat/313111251/,Санкт-Петербург,sale,flat,3,7,1,80.5,-1,0,30843722,Василеостровский,11-я Васильевского острова линия,56,Василеостровская,Клубный дом Monodom Line
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/297371569/,Санкт-Петербург,sale,flat,4,6,2,76.6,-1,0,37800000,Петроградский,Петровский проспект,2с2,Спортивная,"Элитный комплекс ""ROYAL PARK"""
ID 115620984,homeowner,https://spb.cian.ru/sale/flat/316559967/,Санкт-Петербург,sale,flat,10,15,1,32.4,-1,0,6100000,Выборгский,Поэтический бульвар,17,Проспект Просвещения,
Bonava,developer,https://spb.cian.ru/sale/flat/316641274/,Санкт-Петербург,sale,flat,1,14,1,56.6,-1,0,22509820,Красногвардейский,Большая Охта,,Новочеркасская,Магнифика ЖК
Алиса Шрамковская,realtor,https://spb.cian.ru/sale/flat/313057281/,Санкт-Петербург,sale,flat,2,3,1,47.0,-1,0,13990000,Петродворцовый,Красносельское шоссе,22,Ленинский проспект,Veren Village Стрельна
Мир Квартир PREMIUM,real_estate_agent,https://spb.cian.ru/sale/flat/312088221/,Санкт-Петербург,sale,flat,3,12,2,55.3,-1,0,8890000,Приморский, Щербакова,9,Озерки,
ПИК,developer,https://spb.cian.ru/sale/flat/310182794/,Санкт-Петербург,sale,flat,2,13,2,56.1,-1,0,17519356,Выборгский,Сампсониевское,5,Лесная,Кантемировская 11 ЖК
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/315102133/,Санкт-Петербург,sale,flat,3,9,1,45.0,-1,0,25900000,Петроградский, Малая Зеленина,4,Чкаловская,Квадрия
Торговый Дом Недвижимости,real_estate_agent,https://spb.cian.ru/sale/flat/317193429/,Санкт-Петербург,sale,flat,1,10,1,32.8,-1,0,6000000,Красносельский,проспект Ветеранов,169к6,Проспект Ветеранов,Английская миля
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/312285746/,Санкт-Петербург,sale,flat,8,11,2,65.3,-1,0,26812180,Адмиралтейский,Измайловское,,Фрунзенская,ЛСР. Измайловский
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/310770219/,Санкт-Петербург,sale,flat,4,7,2,95.3,-1,0,119125000,Центральный,набережная Воскресенская,32,Площадь Ленина,Приоритет
Л1 строительная компания №1,developer,https://spb.cian.ru/sale/flat/314550297/,Санкт-Петербург,sale,flat,7,23,1,41.2,-1,0,8995000,Выборгский, Руднева,18,Проспект Просвещения,Шекспир
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/312287850/,Санкт-Петербург,sale,flat,15,15,1,32.4,-1,0,11699640,Василеостровский,проспект Крузенштерна,4,Горный институт,Морская набережная
SPB Housing,real_estate_agent,https://spb.cian.ru/sale/flat/304205144/,Санкт-Петербург,sale,flat,8,13,2,57.9,-1,0,16860480,Василеостровский,набережная Реки Смоленки,35к1,Приморская,Айно
Юрий Полоусов,realtor,https://spb.cian.ru/sale/flat/314382281/,Санкт-Петербург,sale,flat,11,23,1,35.6,-1,0,4890000,Красногвардейский, Чарушинская,8,Девяткино,Цветной Город
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/312284983/,Санкт-Петербург,sale,flat,7,8,2,57.9,-1,0,25696020,Петроградский,Ремесленная ,15,Спортивная,Neva Residence
Престиж,real_estate_agent,https://spb.cian.ru/sale/flat/311363542/,Санкт-Петербург,sale,flat,1,5,2,52.4,-1,0,12990000,Адмиралтейский,набережная Реки Мойки,62/2,Адмиралтейская,
ID 81185522,realtor,https://spb.cian.ru/sale/flat/316392562/,Санкт-Петербург,sale,flat,3,16,1,38.5,-1,0,6290000,Калининский,Тихорецкий проспект,25К6,Политехническая,
RBI,developer,https://spb.cian.ru/sale/flat/306080907/,Санкт-Петербург,sale,flat,6,12,2,56.3,-1,0,20583573,Невский,Невская застава,,Елизаровская,Литера ЖК
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/316287735/,Санкт-Петербург,sale,flat,5,10,1,56.2,-1,0,35000000,Петроградский,Ждановская ,45,Крестовский остров,Леонтьевский мыс
CENTURY 21 MAV Real Estate,real_estate_agent,https://spb.cian.ru/sale/flat/317292295/,Санкт-Петербург,sale,flat,4,24,2,62.1,-1,0,12800000,Приморский,Парашютная ,54,Комендантский проспект,Юбилейный квартал
ГК Стоун,representative_developer,https://spb.cian.ru/sale/flat/307260103/,Санкт-Петербург,sale,flat,7,9,1,44.0,-1,0,5325000,Пушкинский,Московское шоссе,256к5,Шушары,Вариант
BEYOND. ex-Engel Volkers,real_estate_agent,https://spb.cian.ru/sale/flat/316181371/,Санкт-Петербург,sale,flat,3,10,1,61.6,-1,0,38000000,Петроградский,Ждановская ,45,Крестовский остров,Леонтьевский мыс
Торговый Дом Недвижимости,real_estate_agent,https://spb.cian.ru/sale/flat/317512273/,Санкт-Петербург,sale,flat,6,9,1,29.2,-1,0,5500000,Невский,Искровский проспект,21,Улица Дыбенко,
ПИК,developer,https://spb.cian.ru/sale/flat/305857659/,Санкт-Петербург,sale,flat,2,8,2,54.4,-1,0,17919360,Василеостровский,Гавань,,Горный институт,Шкиперский 19 ЖК
Петроградский Стиль,real_estate_agent,https://spb.cian.ru/sale/flat/315438028/,Санкт-Петербург,sale,flat,12,19,1,36.0,-1,0,7800000,Невский,1-й Рабфаковский переулок,3,Пролетарская,Троицкое
Этажи Санкт-Петербург,real_estate_agent,https://spb.cian.ru/sale/flat/317065902/,Санкт-Петербург,sale,flat,7,7,1,45.8,-1,0,8990000,Петроградский, Куйбышева,36,Горьковская,
ПИК,developer,https://spb.cian.ru/sale/flat/314963550/,Санкт-Петербург,sale,flat,4,13,1,39.6,-1,0,14802480,Выборгский,Сампсониевское,5,Лесная,Кантемировская 11 ЖК
Винтеко,developer,https://spb.cian.ru/sale/flat/290200253/,Санкт-Петербург,sale,flat,4,7,1,81.6,-1,0,35675640,Василеостровский,13-я Васильевского острова линия,50,Василеостровская,Клубный дом Манхэттен
Престиж,real_estate_agent,https://spb.cian.ru/sale/flat/309226506/,Санкт-Петербург,sale,flat,3,13,1,35.5,-1,0,9980000,Московский,Смоленская ,18,Фрунзенская,Небо Москвы
"СЗ ""М115""",developer,https://spb.cian.ru/sale/flat/309528719/,Санкт-Петербург,sale,flat,4,10,2,45.2,-1,0,16849556,Московский,Московский проспект,115В,Московские ворота,Апарт-отель МОСКО
ID 62639812,homeowner,https://spb.cian.ru/sale/flat/317159466/,Санкт-Петербург,sale,flat,9,9,2,51.0,-1,0,13149000,Фрунзенский,Купчинская ,8К1,Купчино,
Петербургская Строительная Компания,developer,https://spb.cian.ru/sale/flat/307963085/,Санкт-Петербург,sale,flat,3,9,2,72.98,-1,0,31381400,Центральный,проспект Бакунина,33,Чернышевская,Bakunina 33
СОЮЗ,real_estate_agent,https://spb.cian.ru/sale/flat/317258898/,Санкт-Петербург,sale,flat,4,4,1,39.3,-1,0,16669095,Адмиралтейский,Большая Подьяческая ,1-3,Садовая,
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/312733423/,Санкт-Петербург,sale,flat,11,15,2,56.4,-1,0,17546040,Василеостровский,проспект Крузенштерна,,Приморская,Морская набережная
ID 50291484,unknown,https://spb.cian.ru/sale/flat/317263404/,Санкт-Петербург,sale,flat,13,14,1,41.0,-1,0,17500000,Московский,Московский проспект,,Московская,Граф Орлов
Строительный холдинг Сенатор,developer,https://spb.cian.ru/sale/flat/309823834/,Санкт-Петербург,sale,flat,4,12,1,47.7,-1,0,25429938,Курортный,Приморское шоссе,570Л,,МФК Морская ривьера
Роман Иванов,realtor,https://spb.cian.ru/sale/flat/316222684/,Санкт-Петербург,sale,flat,18,24,2,77.0,-1,0,26900000,Московский, Типанова,23с1,Московская,
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/312287697/,Санкт-Петербург,sale,flat,8,9,1,51.8,-1,0,34301960,Петроградский,Петровский проспект,9к2,Чкаловская,Neva Haus
Вадим Иванов,realtor,https://spb.cian.ru/sale/flat/313829722/,Санкт-Петербург,sale,flat,11,26,2,75.0,-1,0,31900000,Выборгский,проспект Тореза,118,Озерки,LENINGRAD
Балтийская коммерция,developer,https://spb.cian.ru/sale/flat/306971650/,Санкт-Петербург,sale,flat,5,9,2,82.3,-1,0,31274000,Петроградский, Чапаева,17к2,Горьковская,Мануфактура James Beck
Торговый Дом Недвижимости,real_estate_agent,https://spb.cian.ru/sale/flat/317193429/,Санкт-Петербург,sale,flat,1,10,1,32.8,-1,0,6000000,Красносельский,проспект Ветеранов,169к6,Проспект Ветеранов,Английская миля
Винтеко,developer,https://spb.cian.ru/sale/flat/290200256/,Санкт-Петербург,sale,flat,4,7,2,119.8,-1,0,52333084,Василеостровский,13-я Васильевского острова линия,50,Василеостровская,Клубный дом Манхэттен
Этажи Санкт-Петербург,real_estate_agent,https://spb.cian.ru/sale/flat/313397152/,Санкт-Петербург,sale,flat,22,25,1,30.0,-1,0,6490000,Выборгский,Заречная ,13к4,Парнас,На Заречной
Строительный холдинг Сенатор,developer,https://spb.cian.ru/sale/flat/309823847/,Санкт-Петербург,sale,flat,5,12,2,46.0,-1,0,25148568,Курортный,Приморское шоссе,570Л,,МФК Морская ривьера
Кристалл,real_estate_agent,https://spb.cian.ru/sale/flat/317570968/,Санкт-Петербург,sale,flat,4,5,2,44.6,-1,0,6900000,Фрунзенский,Бухарестская ,86К3,Проспект Славы,
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/312287722/,Санкт-Петербург,sale,flat,7,9,2,75.7,-1,0,36714500,Петроградский,Петровский проспект,9к2,Чкаловская,Neva Haus
Proflat,real_estate_agent,https://spb.cian.ru/sale/flat/309412105/,Санкт-Петербург,sale,flat,10,12,1,33.75,-1,0,9999999,Невский,Невская застава,,Елизаровская,Астра Континенталь ЖК
Унистрой,developer,https://spb.cian.ru/sale/flat/305091391/,Санкт-Петербург,sale,flat,2,5,1,24.89,-1,0,9010000,Курортный,,,Беговая,Лисино ЖК
ЦДС,real_estate_agent,https://spb.cian.ru/sale/flat/307652957/,Санкт-Петербург,sale,flat,4,4,1,40.7,-1,0,11458075,Фрунзенский,Волковский проспект,6,Волковская,ЦДС Волковский
Брусника,developer,https://spb.cian.ru/sale/flat/316912137/,Санкт-Петербург,sale,flat,3,15,1,40.83,-1,0,14870000,Василеостровский,Морской,,Приморская,Северный Ветер ЖК
NEXT,real_estate_agent,https://spb.cian.ru/sale/flat/310088125/,Санкт-Петербург,sale,flat,14,14,1,39.35,-1,0,11980000,Приморский,Вазаский переулок,3,Черная речка,ЦДС Черная речка
Унистрой,developer,https://spb.cian.ru/sale/flat/292533582/,Санкт-Петербург,sale,flat,3,5,2,55.55,-1,0,16110000,Курортный,,,Беговая,Лисино ЖК
ID 107373446,homeowner,https://spb.cian.ru/sale/flat/317156579/,Санкт-Петербург,sale,flat,8,12,2,53.0,-1,0,12500000,Приморский,Яхтенная ,4К3,Беговая,
Брусника,developer,https://spb.cian.ru/sale/flat/316603079/,Санкт-Петербург,sale,flat,10,16,2,76.39,-1,0,24830000,Василеостровский,Морской,,Приморская,Северный Ветер ЖК
ID 113274640,realtor,https://spb.cian.ru/sale/flat/317547297/,Санкт-Петербург,sale,flat,2,12,1,37.4,-1,0,12500000,Приморский,проспект Авиаконструкторов,54,Комендантский проспект,Modum
City Solutions,developer,https://spb.cian.ru/sale/flat/316976862/,Санкт-Петербург,sale,flat,3,10,1,35.06,-1,0,14299223,Приморский,набережная Черной речки,1,Черная речка,Министр
Proflat,real_estate_agent,https://spb.cian.ru/sale/flat/310584072/,Санкт-Петербург,sale,flat,19,25,2,53.0,-1,0,14499000,Московский,проспект Космонавтов,37,Московская,Доминанта
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/312667031/,Санкт-Петербург,sale,flat,2,4,1,33.7,-1,0,7444330,Пушкинский,,,Звездная,Пулково Lake ЖК
АБСОЛЮТ Сити,real_estate_agent,https://spb.cian.ru/sale/flat/314561385/,Санкт-Петербург,sale,flat,18,24,2,52.4,-1,0,15300000,Приморский,Глухарская ,30,Комендантский проспект,Ultra City 2
City Solutions,developer,https://spb.cian.ru/sale/flat/316976718/,Санкт-Петербург,sale,flat,3,10,2,51.33,-1,0,23458615,Приморский,набережная Черной речки,1,Черная речка,Министр
Proflat,real_estate_agent,https://spb.cian.ru/sale/flat/313398498/,Санкт-Петербург,sale,flat,3,5,1,46.1,-1,0,15899000,Курортный, Инструментальщиков,18,Беговая,BEREG.Курортный
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/312285211/,Санкт-Петербург,sale,flat,2,4,2,53.7,-1,0,13693500,Пушкинский,,,Звездная,Пулково Lake ЖК
СОЮЗ,real_estate_agent,https://spb.cian.ru/sale/flat/317258222/,Санкт-Петербург,sale,flat,3,4,1,41.2,-1,0,17474980,Адмиралтейский,Большая Подьяческая ,1-3,Садовая,
Главстрой,developer,https://spb.cian.ru/sale/flat/313107078/,Санкт-Петербург,sale,flat,18,23,1,34.53,-1,0,7130445,Приморский,Лахта-Ольгино,,Зенит,ЮНТОЛОВО ЖК
Михаил Степанов,realtor,https://spb.cian.ru/sale/flat/316269467/,Санкт-Петербург,sale,flat,5,6,2,51.63,-1,0,21963000,Центральный,8-я Советская ,9-13,Площадь Восстания,
